scheme_id,scheme_name,ministry,category,study_level,target_group,official_url,verification_date,description,eligibility,benefits,keywords,source_name,rule_version,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17
CG043,Karnataka Valmiki Development Corporation Educational Loan,Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation,Educational support,Higher education/professional,Eligible ST beneficiaries in Karnataka,https://kmvstdcl.karnataka.gov.in/,9/7/2026,"Karnataka Valmiki Development Corporation Educational Loan is a educational support initiative for eligible st beneficiaries in karnataka, covering Higher education/professional education/research.",Primarily intended for eligible st beneficiaries in karnataka. Applicable study level: Higher education/professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Valmiki Development Corporation Educational Loan, Educational support, Higher education/professional, Eligible ST beneficiaries in Karnataka, Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation",Government of Karnataka,v1.0,,,,
CG044,Karnataka Ambedkar Development Corporation Educational Loan,Karnataka Dr. B. R. Ambedkar Development Corporation,Educational support,Higher education/professional,Eligible SC beneficiaries in Karnataka,https://adcl.karnataka.gov.in/,9/7/2026,"Karnataka Ambedkar Development Corporation Educational Loan is a educational support initiative for eligible sc beneficiaries in karnataka, covering Higher education/professional education/research.",Primarily intended for eligible sc beneficiaries in karnataka. Applicable study level: Higher education/professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Ambedkar Development Corporation Educational Loan, Educational support, Higher education/professional, Eligible SC beneficiaries in Karnataka, Karnataka Dr. B. R. Ambedkar Development Corporation",Government of Karnataka,v1.0,,,,
CG045,Karnataka Arya Vaishya Community Development Corporation Educational Loan,Karnataka Arya Vaishya Community Development Corporation,Educational support,Higher education/professional,Eligible Arya Vaishya beneficiaries in Karnataka,https://kavcdc.karnataka.gov.in/,9/7/2026,"Karnataka Arya Vaishya Community Development Corporation Educational Loan is a educational support initiative for eligible arya vaishya beneficiaries in karnataka, covering Higher education/professional education/research.",Primarily intended for eligible arya vaishya beneficiaries in karnataka. Applicable study level: Higher education/professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Arya Vaishya Community Development Corporation Educational Loan, Educational support, Higher education/professional, Eligible Arya Vaishya beneficiaries in Karnataka, Karnataka Arya Vaishya Community Development Corporation",Government of Karnataka,v1.0,,,,
CG046,Karnataka Uppara Development Corporation Educational Loan,Karnataka Uppara Development Corporation,Educational support,Higher education/professional,Eligible Uppara community beneficiaries in Karnataka,https://kudc.karnataka.gov.in/,9/7/2026,"Karnataka Uppara Development Corporation Educational Loan is a educational support initiative for eligible uppara community beneficiaries in karnataka, covering Higher education/professional education/research.",Primarily intended for eligible uppara community beneficiaries in karnataka. Applicable study level: Higher education/professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Uppara Development Corporation Educational Loan, Educational support, Higher education/professional, Eligible Uppara community beneficiaries in Karnataka, Karnataka Uppara Development Corporation",Government of Karnataka,v1.0,,,,
CG047,Karnataka Savita Samaja Development Corporation Educational Loan,Karnataka Savita Samaja Development Corporation,Educational support,Higher education/professional,Eligible Savita Samaja beneficiaries in Karnataka,https://kscdc.karnataka.gov.in/,9/7/2026,"Karnataka Savita Samaja Development Corporation Educational Loan is a educational support initiative for eligible savita samaja beneficiaries in karnataka, covering Higher education/professional education/research.",Primarily intended for eligible savita samaja beneficiaries in karnataka. Applicable study level: Higher education/professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Savita Samaja Development Corporation Educational Loan, Educational support, Higher education/professional, Eligible Savita Samaja beneficiaries in Karnataka, Karnataka Savita Samaja Development Corporation",Government of Karnataka,v1.0,,,,
CG048,Karnataka Ganga Kalyana Educational Assistance,Karnataka Development Corporation schemes,Educational support,Higher education,Eligible beneficiaries under applicable Karnataka schemes,https://karnataka.gov.in/,9/7/2026,"Karnataka Ganga Kalyana Educational Assistance is a educational support initiative for eligible beneficiaries under applicable karnataka schemes, covering Higher education education/research.",Primarily intended for eligible beneficiaries under applicable karnataka schemes. Applicable study level: Higher education. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Education-related financial assistance/support for eligible beneficiaries, subject to scheme rules.","Karnataka Ganga Kalyana Educational Assistance, Educational support, Higher education, Eligible beneficiaries under applicable Karnataka schemes, Karnataka Development Corporation schemes",Government of Karnataka,v1.0,,,,
CG049,Karnataka State Scholarship Portal Educational Assistance,Government of Karnataka,Scholarship,School/UG/PG,Eligible Karnataka students under SSP-linked schemes,https://ssp.postmatric.karnataka.gov.in/,9/7/2026,"Karnataka State Scholarship Portal Educational Assistance is a scholarship initiative for eligible karnataka students under ssp-linked schemes, covering School/UG/PG education/research.",Primarily intended for eligible karnataka students under ssp-linked schemes. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Karnataka State Scholarship Portal Educational Assistance, Scholarship, School/UG/PG, Eligible Karnataka students under SSP-linked schemes, Government of Karnataka",Government of Karnataka,v1.0,,,,
CG050,National Fellowship for OBC Students,Ministry of Social Justice and Empowerment,Fellowship,MPhil/PhD,Eligible Other Backward Class research scholars,https://socialjustice.gov.in/,9/13/2026,"National Fellowship for OBC Students is a fellowship initiative for eligible other backward class research scholars, covering MPhil/PhD education/research.",Primarily intended for eligible other backward class research scholars. Applicable study level: MPhil/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","National Fellowship for OBC Students, Fellowship, MPhil/PhD, Eligible Other Backward Class research scholars, Ministry of Social Justice and Empowerment",Ministry of Social Justice and Empowerment,v1.0,,,,
CG051,National Fellowship for Students from Minority Communities,Ministry of Minority Affairs,Fellowship,MPhil/PhD,Students belonging to notified minority communities,https://minorityaffairs.gov.in/,9/13/2026,"National Fellowship for Students from Minority Communities is a fellowship initiative for students belonging to notified minority communities, covering MPhil/PhD education/research.",Primarily intended for students belonging to notified minority communities. Applicable study level: MPhil/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","National Fellowship for Students from Minority Communities, Fellowship, MPhil/PhD, Students belonging to notified minority communities, Ministry of Minority Affairs",Ministry of Minority Affairs,v1.0,,,,
CG052,UGC Emeritus Fellowship,University Grants Commission,Fellowship,Research/Academic,Retired teachers and eligible academic researchers,https://www.ugc.gov.in/,9/13/2026,"UGC Emeritus Fellowship is a fellowship initiative for retired teachers and eligible academic researchers, covering Research/Academic education/research.",Primarily intended for retired teachers and eligible academic researchers. Applicable study level: Research/Academic. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","UGC Emeritus Fellowship, Fellowship, Research/Academic, Retired teachers and eligible academic researchers, University Grants Commission",University Grants Commission,v1.0,,,,
CG053,UGC Junior Research Fellowship,University Grants Commission,Fellowship,MPhil/PhD,Eligible postgraduate students qualifying through UGC-NET,https://www.ugc.gov.in/,9/13/2026,"UGC Junior Research Fellowship is a fellowship initiative for eligible postgraduate students qualifying through ugc-net, covering MPhil/PhD education/research.",Primarily intended for eligible postgraduate students qualifying through ugc-net. Applicable study level: MPhil/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","UGC Junior Research Fellowship, Fellowship, MPhil/PhD, Eligible postgraduate students qualifying through UGC-NET, University Grants Commission",University Grants Commission,v1.0,,,,
CG054,UGC Research Fellowship in Sciences,University Grants Commission,Fellowship,PhD/Research,Eligible science research scholars,https://www.ugc.gov.in/,9/13/2026,"UGC Research Fellowship in Sciences is a fellowship initiative for eligible science research scholars, covering PhD/Research education/research.",Primarily intended for eligible science research scholars. Applicable study level: PhD/Research. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","UGC Research Fellowship in Sciences, Fellowship, PhD/Research, Eligible science research scholars, University Grants Commission",University Grants Commission,v1.0,,,,
CG055,INSPIRE Scholarship for Higher Education,Department of Science and Technology,Scholarship,UG,Students pursuing basic and natural sciences,https://online-inspire.gov.in/,9/13/2026,"INSPIRE Scholarship for Higher Education is a scholarship initiative for students pursuing basic and natural sciences, covering UG education/research.",Primarily intended for students pursuing basic and natural sciences. Applicable study level: UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","INSPIRE Scholarship for Higher Education, Scholarship, UG, Students pursuing basic and natural sciences, Department of Science and Technology",Department of Science and Technology,v1.0,,,,
CG056,INSPIRE Fellowship,Department of Science and Technology,Fellowship,PhD,Students pursuing doctoral research in science,https://online-inspire.gov.in/,9/13/2026,"INSPIRE Fellowship is a fellowship initiative for students pursuing doctoral research in science, covering PhD education/research.",Primarily intended for students pursuing doctoral research in science. Applicable study level: PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","INSPIRE Fellowship, Fellowship, PhD, Students pursuing doctoral research in science, Department of Science and Technology",Department of Science and Technology,v1.0,,,,
CG057,Kishore Vaigyanik Protsahan Yojana / INSPIRE-linked Research Support,Department of Science and Technology,Scholarship/Fellowship,School/UG,Students interested in basic science research,https://online-inspire.gov.in/,9/13/2026,"Kishore Vaigyanik Protsahan Yojana / INSPIRE-linked Research Support is a scholarship/fellowship initiative for students interested in basic science research, covering School/UG education/research.",Primarily intended for students interested in basic science research. Applicable study level: School/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","Kishore Vaigyanik Protsahan Yojana / INSPIRE-linked Research Support, Scholarship/Fellowship, School/UG, Students interested in basic science research, Department of Science and Technology",Department of Science and Technology,v1.0,,,,
CG058,Scholarship Scheme for College and University Students under PM-USP,"Department of Higher Education, Ministry of Education",Scholarship,UG/PG,Meritorious students with financial need,https://scholarships.gov.in/,9/13/2026,"Scholarship Scheme for College and University Students under PM-USP is a scholarship initiative for meritorious students with financial need, covering UG/PG education/research.",Primarily intended for meritorious students with financial need. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Scholarship Scheme for College and University Students under PM-USP, Scholarship, UG/PG, Meritorious students with financial need, Department of Higher Education, Ministry of Education",National Scholarship Portal,v1.0,,,,
CG059,National Scholarship Scheme for Jammu and Kashmir Students,Ministry of Education,Scholarship,UG/Professional,Eligible students from Jammu and Kashmir,https://scholarships.gov.in/,9/13/2026,"National Scholarship Scheme for Jammu and Kashmir Students is a scholarship initiative for eligible students from jammu and kashmir, covering UG/Professional education/research.",Primarily intended for eligible students from jammu and kashmir. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","National Scholarship Scheme for Jammu and Kashmir Students, Scholarship, UG/Professional, Eligible students from Jammu and Kashmir, Ministry of Education",National Scholarship Portal,v1.0,,,,
CG060,Special Scholarship Scheme for Jammu and Kashmir,All India Council for Technical Education,Scholarship,UG/Professional,Eligible students from Jammu and Kashmir,https://www.aicte-india.org/,9/13/2026,"Special Scholarship Scheme for Jammu and Kashmir is a scholarship initiative for eligible students from jammu and kashmir, covering UG/Professional education/research.",Primarily intended for eligible students from jammu and kashmir. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Special Scholarship Scheme for Jammu and Kashmir, Scholarship, UG/Professional, Eligible students from Jammu and Kashmir, All India Council for Technical Education",AICTE,v1.0,,,,
CG061,Scholarship Scheme for Students from Wards of Coal Mine Workers,Ministry of Coal,Scholarship,School/UG/PG,Eligible wards of coal mine workers,https://scholarships.gov.in/,9/13/2026,"Scholarship Scheme for Students from Wards of Coal Mine Workers is a scholarship initiative for eligible wards of coal mine workers, covering School/UG/PG education/research.",Primarily intended for eligible wards of coal mine workers. Applicable study level: School/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Scholarship Scheme for Students from Wards of Coal Mine Workers, Scholarship, School/UG/PG, Eligible wards of coal mine workers, Ministry of Coal",National Scholarship Portal,v1.0,,,,
CG062,Scholarship for Children of Railway Employees,Ministry of Railways,Scholarship,School/UG,Eligible children of railway employees,https://indianrailways.gov.in/,9/13/2026,"Scholarship for Children of Railway Employees is a scholarship initiative for eligible children of railway employees, covering School/UG education/research.",Primarily intended for eligible children of railway employees. Applicable study level: School/UG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Scholarship for Children of Railway Employees, Scholarship, School/UG, Eligible children of railway employees, Ministry of Railways",Ministry of Railways,v1.0,,,,
CG063,National Award Scholarship for Meritorious Students,"Department of Higher Education, Ministry of Education",Scholarship,UG/PG,High-performing students meeting scheme conditions,https://scholarships.gov.in/,9/13/2026,"National Award Scholarship for Meritorious Students is a scholarship initiative for high-performing students meeting scheme conditions, covering UG/PG education/research.",Primarily intended for high-performing students meeting scheme conditions. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","National Award Scholarship for Meritorious Students, Scholarship, UG/PG, High-performing students meeting scheme conditions, Department of Higher Education, Ministry of Education",National Scholarship Portal,v1.0,,,,
CG064,Scholarship for Higher Education of Children of Personnel in Armed Forces,Ministry of Defence,Scholarship,UG/Professional,Eligible wards of armed forces personnel,https://scholarships.gov.in/,9/13/2026,"Scholarship for Higher Education of Children of Personnel in Armed Forces is a scholarship initiative for eligible wards of armed forces personnel, covering UG/Professional education/research.",Primarily intended for eligible wards of armed forces personnel. Applicable study level: UG/Professional. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Scholarship for Higher Education of Children of Personnel in Armed Forces, Scholarship, UG/Professional, Eligible wards of armed forces personnel, Ministry of Defence",National Scholarship Portal,v1.0,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
